id,user_id,course_id,time_created
417454,0,721,2021-09-21 16:32:08.407460
438342,1,721,2021-10-01 11:58:38.809717
438874,2,721,2021-10-01 15:10:35.020145
386210,3,721,2021-09-03 17:37:51.682461
380483,4,721,2021-09-01 12:14:11.113114
456724,5,721,2021-10-13 11:00:11.345024
439388,6,721,2021-10-01 18:23:08.128384
432113,7,721,2021-09-29 06:34:42.313280
387089,8,721,2021-09-04 08:31:35.911367
407850,9,721,2021-09-17 03:29:57.915172
455461,10,721,2021-10-12 15:35:11.055820
471760,11,721,2021-10-26 15:07:52.539622
475628,12,721,2021-10-28 09:40:02.356776
449365,13,721,2021-10-07 14:08:09.767404
430118,14,721,2021-09-28 09:42:48.125318
470832,15,721,2021-10-26 02:59:23.677828
443809,16,721,2021-10-04 15:26:37.126859
399819,17,721,2021-09-12 15:48:01.616725
444516,18,721,2021-10-05 07:30:20.771490
466914,19,721,2021-10-22 08:08:21.187056
445983,20,721,2021-10-06 04:30:17.220405
451644,21,721,2021-10-09 07:33:09.907208
447819,22,721,2021-10-06 17:34:13.193106
431410,23,721,2021-09-28 17:40:11.023424
397706,24,721,2021-09-10 21:01:50.531900
391934,25,721,2021-09-06 17:13:56.328263
476317,26,721,2021-10-28 15:44:35.488483
425430,27,721,2021-09-25 17:29:26.821871
395488,28,721,2021-09-09 09:52:25.629821
442526,29,721,2021-10-03 16:07:30.507248
396434,30,721,2021-09-09 21:19:59.305341
440154,31,721,2021-10-02 09:56:25.128796
424998,32,721,2021-09-25 13:05:48.107353
424912,33,721,2021-09-25 12:16:02.293593
437623,34,721,2021-10-01 06:24:52.377946
380286,35,721,2021-09-01 10:29:52.307241
434826,36,721,2021-09-30 10:59:53.418239
396349,37,721,2021-09-09 19:17:21.894920
391044,38,721,2021-09-06 07:44:22.107355
466466,39,721,2021-10-21 17:09:55.096038
441810,40,721,2021-10-03 11:02:40.088923
395115,41,721,2021-09-09 03:32:31.852763
420160,42,721,2021-09-22 17:46:20.007453
421917,43,721,2021-09-23 16:38:55.963284
461108,44,721,2021-10-17 06:33:07.420772
388999,45,721,2021-09-05 04:47:43.196929
445433,46,721,2021-10-05 16:12:54.007665
385509,47,721,2021-09-03 13:32:52.026318
381274,48,721,2021-09-01 14:57:45.507311
441021,49,721,2021-10-02 19:45:37.808998
441569,50,721,2021-10-03 09:28:47.207332
435992,51,721,2021-09-30 15:23:06.007795
413529,52,721,2021-09-20 02:42:31.407334
464258,53,721,2021-10-20 06:17:05.956675
478248,54,721,2021-10-30 05:47:39.425810
420345,55,721,2021-09-22 18:36:35.550394
460478,56,721,2021-10-16 07:25:12.928727
427416,57,721,2021-09-27 00:37:10.346162
475500,58,721,2021-10-28 08:44:07.820822
476479,59,721,2021-10-28 17:16:36.255141
414817,60,721,2021-09-20 15:35:10.607407
481215,61,721,2021-10-31 18:50:34.416089
406930,62,721,2021-09-16 15:35:21.507870
475828,63,721,2021-10-28 11:32:28.745537
471518,64,721,2021-10-26 12:55:00.096598
380010,65,721,2021-09-01 07:26:47.546936
425968,66,721,2021-09-26 07:09:44.722411
402461,67,721,2021-09-14 15:40:24.431992
458938,68,721,2021-10-14 16:50:12.728393
433906,69,721,2021-09-29 18:47:27.907303
470631,70,721,2021-10-25 18:59:39.056522
400002,71,721,2021-09-12 17:28:53.582018
394572,72,721,2021-09-08 15:05:10.907360
450615,73,721,2021-10-08 10:41:12.207232
426964,74,721,2021-09-26 16:37:13.633539
448909,75,721,2021-10-07 11:04:36.914605
451797,76,721,2021-10-09 10:41:16.147400
448198,77,721,2021-10-07 01:38:11.807886
475161,78,721,2021-10-28 05:13:18.790949
420676,79,721,2021-09-23 03:20:23.124550
466202,80,721,2021-10-21 14:15:47.956687
476718,81,721,2021-10-28 20:00:30.642181
466655,82,721,2021-10-21 20:08:00.221885
458056,83,721,2021-10-14 07:03:45.988670
450019,84,721,2021-10-07 19:22:10.808564
472341,85,721,2021-10-26 17:00:02.226111
431666,86,721,2021-09-28 19:24:32.736412
453894,87,721,2021-10-11 13:05:20.807476
476953,88,721,2021-10-29 06:19:13.462046
426629,89,721,2021-09-26 13:52:46.565726
461619,90,721,2021-10-17 17:34:18.530317
397172,91,721,2021-09-10 14:07:10.107237
448566,92,721,2021-10-07 07:42:59.836067
449475,93,721,2021-10-07 14:47:29.160510
399414,94,721,2021-09-12 11:06:05.507418
382232,95,721,2021-09-01 20:35:09.417982
394433,96,721,2021-09-08 13:40:54.807219
414177,97,721,2021-09-20 12:10:34.507272
437399,98,721,2021-10-01 03:09:54.697985
429658,99,721,2021-09-28 04:48:56.452957
428040,100,721,2021-09-27 10:03:01.607359
426519,101,721,2021-09-26 12:46:16.307338
470770,102,721,2021-10-26 00:13:58.156508
391629,103,721,2021-09-06 14:44:01.507454
474318,104,721,2021-10-27 14:57:45.988750
401389,105,721,2021-09-13 18:41:18.302917
457073,106,721,2021-10-13 14:02:11.863546
394260,107,721,2021-09-08 12:04:28.863003
428416,108,721,2021-09-27 13:16:20.708723
391305,109,721,2021-09-06 11:15:43.807185
415657,110,721,2021-09-20 19:38:59.957030
473407,111,721,2021-10-27 07:58:10.688994
443169,112,721,2021-10-04 07:11:41.107240
467866,113,721,2021-10-23 07:19:24.213988
401779,114,721,2021-09-14 07:24:55.620179
398920,115,721,2021-09-11 21:26:51.847467
462994,116,721,2021-10-19 06:04:06.456555
474385,117,721,2021-10-27 15:28:45.603783
390267,118,721,2021-09-05 15:43:31.308217
380889,119,721,2021-09-01 13:39:05.019848
443461,120,721,2021-10-04 11:35:18.324794
447632,121,721,2021-10-06 16:29:51.342974
398997,122,721,2021-09-12 04:55:56.709073
401679,123,721,2021-09-14 06:00:15.247772
452900,124,721,2021-10-10 14:55:38.354787
446762,125,721,2021-10-06 12:02:20.060132
395200,126,721,2021-09-09 05:45:11.707261
434537,127,721,2021-09-30 08:14:01.350834
458651,128,721,2021-10-14 14:01:36.147668
455887,129,721,2021-10-12 18:14:38.358106
395378,130,721,2021-09-09 08:04:59.724770
393793,131,721,2021-09-08 06:18:18.809209
477916,132,721,2021-10-29 18:10:11.768306
445769,133,721,2021-10-05 19:27:21.961108
467980,134,721,2021-10-23 09:59:24.115110
380257,135,721,2021-09-01 10:20:55.562787
